"QuarterEnding","HBT","HBTQF","PatientType","Specialty","SpecialtyQF","Additions","AdditionsQF","Removals","RemovalsQF","Attended","AttendedQF","ReferredBackToGP","ReferredBackToGPQF","Transferred","TransferredQF","TreatmentNoLongerRequired","TreatmentNoLongerRequiredQF","OtherReasons","OtherReasonsQF"
"20130630","S92000003","d","New Outpatient","Z9","d",438051,,415968,,344345,,31852,,4163,,20980,,14628,
"20140630","S92000003","d","New Outpatient","Z9","d",450048,,435645,,363804,,36209,,3682,,20822,,11128,
"20150630","S92000003","d","New Outpatient","Z9","d",454864,,432454,,357075,,35515,,3560,,22519,,13785,
"20160630","S92000003","d","New Outpatient","Z9","d",470383,,439856,,361342,,36014,,3880,,24069,,14551,
"20170630","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":",,":",,":",,":"
"20180630","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":",,":",,":",,":"
"20190630","S92000003","d","New Outpatient","Z9","d",464952,,453048,,361703,,34812,,5641,,26152,,24740,
"20200630","S92000003","d","New Outpatient","Z9","d",178136,,175707,,129988,,15249,,1162,,13530,,15778,
"20210630","S92000003","d","New Outpatient","Z9","d",411673,,368838,,282916,,30123,,2405,,24103,,29291,
"20220630","S92000003","d","New Outpatient","Z9","d",416412,,387698,,298568,,31547,,2537,,27690,,27356,
"20130930","S92000003","d","New Outpatient","Z9","d",430696,,424373,,352711,,35405,,3654,,19956,,12647,
"20140930","S92000003","d","New Outpatient","Z9","d",437278,,434879,,361156,,37224,,3188,,21955,,11356,
"20150930","S92000003","d","New Outpatient","Z9","d",446912,,441506,,362977,,37636,,3355,,24159,,13379,
"20160930","S92000003","d","New Outpatient","Z9","d",442868,,429966,,350919,,35252,,3485,,25309,,15001,
"20170930","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":",,":",,":",,":"
"20180930","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":",,":",,":",,":"
"20190930","S92000003","d","New Outpatient","Z9","d",455645,,460468,,368245,,35043,,5666,,26404,,25110,
"20200930","S92000003","d","New Outpatient","Z9","d",310105,,257316,,192963,,20374,,2087,,19798,,22094,
"20210930","S92000003","d","New Outpatient","Z9","d",399935,,376358,,287838,,32378,,2655,,25871,,27616,
"20220930","S92000003","d","New Outpatient","Z9","d",419816,,391739,,301666,,30887,,2595,,29074,,27517,
"20130331","S92000003","d","New Outpatient","Z9","d",409325,,404741,,333860,,31997,,4535,,19671,,14678,
"20140331","S92000003","d","New Outpatient","Z9","d",439610,,435021,,365874,,34639,,3409,,20004,,11095,
"20150331","S92000003","d","New Outpatient","Z9","d",437888,,437070,,362407,,36276,,3411,,22239,,12737,
"20160331","S92000003","d","New Outpatient","Z9","d",444868,,444351,,368423,,35688,,3132,,23725,,13383,
"20170331","S92000003","d","New Outpatient","Z9","d",446739,,450815,,370987,,34487,,3700,,26235,,15406,
"20180331","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":",,":",,":",,":"
"20190331","S92000003","d","New Outpatient","Z9","d",454846,,461995,,372752,,35566,,5566,,27921,,20190,
"20200331","S92000003","d","New Outpatient","Z9","d",386355,,411675,,327456,,32470,,2669,,24442,,24638,
"20210331","S92000003","d","New Outpatient","Z9","d",339868,,329148,,253655,,27111,,2218,,21003,,25161,
"20220331","S92000003","d","New Outpatient","Z9","d",398232,,391756,,304692,,31771,,2336,,26336,,26621,
"20121231","S92000003","d","New Outpatient","Z9","d",410626,,420130,,343522,,33438,,4857,,20521,,17792,
"20131231","S92000003","d","New Outpatient","Z9","d",430878,,436368,,362961,,36845,,3828,,20308,,12426,
"20141231","S92000003","d","New Outpatient","Z9","d",435093,,437397,,361731,,38597,,3410,,21233,,12426,
"20151231","S92000003","d","New Outpatient","Z9","d",437064,,454954,,375400,,39191,,3288,,23524,,13551,
"20161231","S92000003","d","New Outpatient","Z9","d",422409,,431542,,352247,,35487,,3383,,25594,,14831,
"20171231","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":",,":",,":",,":"
"20181231","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":",,":",,":",,":"
"20191231","S92000003","d","New Outpatient","Z9","d",419764,,453136,,365416,,35785,,3418,,24711,,23806,
"20201231","S92000003","d","New Outpatient","Z9","d",341759,,321393,,243683,,28779,,2663,,21101,,25167,
"20211231","S92000003","d","New Outpatient","Z9","d",390096,,393079,,303032,,35652,,2048,,26033,,26314,
"20221231","S92000003","d","New Outpatient","Z9","d",404861,,404472,,309695,,33596,,2851,,30866,,27464,
"20130630","SB0801",,"New Outpatient","Z9","d",533,,520,,448,,4,,3,,3,,62,
"20140630","SB0801",,"New Outpatient","Z9","d",746,,697,,540,,4,,52,,9,,92,
"20150630","SB0801",,"New Outpatient","Z9","d",622,,609,,457,,2,,41,,6,,103,
"20160630","SB0801",,"New Outpatient","Z9","d",584,,658,,551,,5,,13,,10,,79,
"20170630","SB0801",,"New Outpatient","Z9","d",622,,612,,533,,5,,18,,1,,55,
"20180630","SB0801",,"New Outpatient","Z9","d",738,,730,,623,,11,,19,,6,,71,
"20190630","SB0801",,"New Outpatient","Z9","d",762,,706,,601,,11,,22,,14,,58,
"20200630","SB0801",,"New Outpatient","Z9","d",416,,520,,399,,4,,43,,18,,56,
"20210630","SB0801",,"New Outpatient","Z9","d",761,,748,,641,,30,,3,,18,,56,
"20220630","SB0801",,"New Outpatient","Z9","d",858,,753,,611,,4,,44,,41,,53,
"20130930","SB0801",,"New Outpatient","Z9","d",577,,595,,490,,7,,2,,2,,94,
"20140930","SB0801",,"New Outpatient","Z9","d",786,,833,,603,,5,,68,,5,,152,
