_id,QuarterEnding,HBT,HBTQF,PatientType,Specialty,SpecialtyQF,NumberSeen,NumberSeenQF,WaitedOver12Weeks,WaitedOver12WeeksQF,Median,MedianQF,90thPercentile,90thPercentileQF
1,20130630,S92000003,d,New Outpatient,Z9,d,344345,"",20956,"",39,"",83,""
2,20140630,S92000003,d,New Outpatient,Z9,d,363804,"",25817,"",42,"",83,""
3,20150630,S92000003,d,New Outpatient,Z9,d,357075,"",41644,"",42,"",90,""
4,20160630,S92000003,d,New Outpatient,Z9,d,361342,"",44358,"",41,"",93,""
5,20170630,S92000003,d,New Outpatient,Z9,d,,:,,:,,:,,:
6,20180630,S92000003,d,New Outpatient,Z9,d,,:,,:,,:,,:
7,20190630,S92000003,d,New Outpatient,Z9,d,361703,"",77154,"",41,"",146,""
8,20200630,S92000003,d,New Outpatient,Z9,d,129988,"",31353,"",18,"",141,""
9,20210630,S92000003,d,New Outpatient,Z9,d,282916,"",76625,"",33,"",250,""
10,20220630,S92000003,d,New Outpatient,Z9,d,298568,"",90651,"",39,"",253,""
11,20130930,S92000003,d,New Outpatient,Z9,d,352711,"",26139,"",42,"",83,""
12,20140930,S92000003,d,New Outpatient,Z9,d,361156,"",34067,"",44,"",84,""
13,20150930,S92000003,d,New Outpatient,Z9,d,362977,"",51723,"",45,"",100,""
14,20160930,S92000003,d,New Outpatient,Z9,d,350919,"",62266,"",45,"",113,""
15,20170930,S92000003,d,New Outpatient,Z9,d,,:,,:,,:,,:
16,20180930,S92000003,d,New Outpatient,Z9,d,,:,,:,,:,,:
17,20190930,S92000003,d,New Outpatient,Z9,d,368245,"",86277,"",42,"",146,""
18,20200930,S92000003,d,New Outpatient,Z9,d,192963,"",53125,"",22,"",204,""
19,20210930,S92000003,d,New Outpatient,Z9,d,287838,"",85525,"",38,"",244,""
20,20220930,S92000003,d,New Outpatient,Z9,d,301666,"",97196,"",42,"",272,""
21,20130331,S92000003,d,New Outpatient,Z9,d,333860,"",21227,"",39,"",83,""
22,20140331,S92000003,d,New Outpatient,Z9,d,365874,"",28917,"",42,"",83,""
23,20150331,S92000003,d,New Outpatient,Z9,d,362407,"",47307,"",43,"",95,""
24,20160331,S92000003,d,New Outpatient,Z9,d,368423,"",53666,"",42,"",102,""
25,20170331,S92000003,d,New Outpatient,Z9,d,370987,"",86524,"",45,"",138,""
26,20180331,S92000003,d,New Outpatient,Z9,d,,:,,:,,:,,:
27,20190331,S92000003,d,New Outpatient,Z9,d,372752,"",93603,"",42,"",160,""
28,20200331,S92000003,d,New Outpatient,Z9,d,327456,"",73797,"",41,"",142,""
29,20210331,S92000003,d,New Outpatient,Z9,d,253655,"",73904,"",33,"",254,""
30,20220331,S92000003,d,New Outpatient,Z9,d,304692,"",98642,"",41,"",254,""
31,20121231,S92000003,d,New Outpatient,Z9,d,343522,"",18041,"",39,"",82,""
32,20131231,S92000003,d,New Outpatient,Z9,d,362961,"",26437,"",42,"",83,""
33,20141231,S92000003,d,New Outpatient,Z9,d,361731,"",36392,"",42,"",85,""
34,20151231,S92000003,d,New Outpatient,Z9,d,375400,"",60292,"",46,"",107,""
35,20161231,S92000003,d,New Outpatient,Z9,d,352247,"",72263,"",44,"",126,""
36,20171231,S92000003,d,New Outpatient,Z9,d,,:,,:,,:,,:
37,20181231,S92000003,d,New Outpatient,Z9,d,,:,,:,,:,,:
38,20191231,S92000003,d,New Outpatient,Z9,d,365416,"",85248,"",43,"",147,""
39,20201231,S92000003,d,New Outpatient,Z9,d,243683,"",70192,"",31,"",266,""
40,20211231,S92000003,d,New Outpatient,Z9,d,303032,"",96421,"",40,"",243,""
41,20221231,S92000003,d,New Outpatient,Z9,d,309695,"",107650,"",43,"",282,""
42,20130630,S08000015,"",New Outpatient,Z9,d,25391,"",1770,"",44,"",84,""
43,20140630,S08000015,"",New Outpatient,Z9,d,27084,"",3231,"",50,"",89,""
44,20150630,S08000015,"",New Outpatient,Z9,d,25949,"",5501,"",53,"",113,""
45,20160630,S08000015,"",New Outpatient,Z9,d,26962,"",6884,"",48,"",146,""
46,20170630,S08000015,"",New Outpatient,Z9,d,28171,"",7012,"",48,"",125,""
47,20180630,S08000015,"",New Outpatient,Z9,d,26217,"",6711,"",48,"",126,""
48,20190630,S08000015,"",New Outpatient,Z9,d,28810,"",8135,"",59,"",134,""
49,20200630,S08000015,"",New Outpatient,Z9,d,8411,"",2064,"",25,"",133,""
50,20210630,S08000015,"",New Outpatient,Z9,d,21541,"",7177,"",38,"",302,""
51,20220630,S08000015,"",New Outpatient,Z9,d,22754,"",7759,"",43,"",294,""
52,20130930,S08000015,"",New Outpatient,Z9,d,26616,"",2549,"",44,"",84,""
53,20140930,S08000015,"",New Outpatient,Z9,d,27622,"",4376,"",50,"",103,""
54,20150930,S08000015,"",New Outpatient,Z9,d,26559,"",6563,"",56,"",130,""
55,20160930,S08000015,"",New Outpatient,Z9,d,26646,"",7941,"",51,"",146,""
56,20170930,S08000015,"",New Outpatient,Z9,d,27070,"",7111,"",51,"",138,""
57,20180930,S08000015,"",New Outpatient,Z9,d,26541,"",7968,"",56,"",128,""
58,20190930,S08000015,"",New Outpatient,Z9,d,27663,"",8304,"",58,"",128,""
59,20200930,S08000015,"",New Outpatient,Z9,d,13252,"",3795,"",30,"",208,""
60,20210930,S08000015,"",New Outpatient,Z9,d,21145,"",7325,"",44,"",310,""
61,20220930,S08000015,"",New Outpatient,Z9,d,22758,"",8013,"",45,"",365,""
62,20130331,S08000015,"",New Outpatient,Z9,d,26015,"",1724,"",46,"",84,""
63,20140331,S08000015,"",New Outpatient,Z9,d,27547,"",2343,"",47,"",84,""
64,20150331,S08000015,"",New Outpatient,Z9,d,28189,"",7346,"",60,"",135,""
65,20160331,S08000015,"",New Outpatient,Z9,d,26157,"",6790,"",48,"",145,""
66,20170331,S08000015,"",New Outpatient,Z9,d,29708,"",9079,"",52,"",153,""
67,20180331,S08000015,"",New Outpatient,Z9,d,27141,"",6929,"",48,"",133,""
68,20190331,S08000015,"",New Outpatient,Z9,d,27992,"",8727,"",60,"",141,""
69,20200331,S08000015,"",New Outpatient,Z9,d,24633,"",6250,"",47,"",124,""
70,20210331,S08000015,"",New Outpatient,Z9,d,17113,"",5273,"",37,"",251,""
71,20220331,S08000015,"",New Outpatient,Z9,d,21403,"",6755,"",35,"",258,""
72,20121231,S08000015,"",New Outpatient,Z9,d,26278,"",1139,"",46,"",83,""
73,20131231,S08000015,"",New Outpatient,Z9,d,27638,"",2727,"",49,"",84,""
74,20141231,S08000015,"",New Outpatient,Z9,d,25752,"",5087,"",50,"",115,""
75,20151231,S08000015,"",New Outpatient,Z9,d,29009,"",7973,"",59,"",140,""
76,20161231,S08000015,"",New Outpatient,Z9,d,26829,"",8444,"",52,"",146,""
77,20171231,S08000015,"",New Outpatient,Z9,d,27710,"",7183,"",51,"",137,""
78,20181231,S08000015,"",New Outpatient,Z9,d,27476,"",8263,"",57,"",138,""
79,20191231,S08000015,"",New Outpatient,Z9,d,28992,"",7866,"",55,"",123,""
80,20201231,S08000015,"",New Outpatient,Z9,d,16204,"",4541,"",35,"",258,""
81,20211231,S08000015,"",New Outpatient,Z9,d,23220,"",8606,"",43,"",305,""
82,20221231,S08000015,"",New Outpatient,Z9,d,23558,"",9115,"",48,"",435,""
83,20130630,S08000016,"",New Outpatient,Z9,d,6850,"",569,"",40,"",83,""
84,20140630,S08000016,"",New Outpatient,Z9,d,7375,"",478,"",35,"",80,""
85,20150630,S08000016,"",New Outpatient,Z9,d,7407,"",749,"",36,"",85,""
86,20160630,S08000016,"",New Outpatient,Z9,d,7672,"",565,"",31,"",78,""
87,20170630,S08000016,"",New Outpatient,Z9,d,7417,"",1541,"",41,"",100,""
88,20180630,S08000016,"",New Outpatient,Z9,d,8430,"",930,"",32,"",87,""
89,20190630,S08000016,"",New Outpatient,Z9,d,7153,"",942,"",37,"",90,""
90,20200630,S08000016,"",New Outpatient,Z9,d,2324,"",476,"",18,"",119,""
91,20210630,S08000016,"",New Outpatient,Z9,d,4874,"",1092,"",27,"",210.7,""
92,20220630,S08000016,"",New Outpatient,Z9,d,5831,"",1499,"",28,"",237,""
93,20130930,S08000016,"",New Outpatient,Z9,d,7625,"",1280,"",46,"",92,""
94,20140930,S08000016,"",New Outpatient,Z9,d,6954,"",507,"",35,"",80,""
95,20150930,S08000016,"",New Outpatient,Z9,d,7902,"",875,"",40,"",87,""
96,20160930,S08000016,"",New Outpatient,Z9,d,7641,"",899,"",38,"",88,""
97,20170930,S08000016,"",New Outpatient,Z9,d,7254,"",1532,"",37,"",125,""
98,20180930,S08000016,"",New Outpatient,Z9,d,7082,"",1089,"",34,"",101,""
99,20190930,S08000016,"",New Outpatient,Z9,d,8618,"",2575,"",50,"",119,""
100,20200930,S08000016,"",New Outpatient,Z9,d,3804,"",752,"",21,"",161,""
101,20210930,S08000016,"",New Outpatient,Z9,d,5204,"",1330,"",31,"",196.7,""
102,20220930,S08000016,"",New Outpatient,Z9,d,5709,"",1714,"",32,"",365,""
103,20130331,S08000016,"",New Outpatient,Z9,d,6406,"",443,"",40,"",81,""
104,20140331,S08000016,"",New Outpatient,Z9,d,7162,"",773,"",37,"",86,""
105,20150331,S08000016,"",New Outpatient,Z9,d,7663,"",1250,"",39,"",100,""
106,20160331,S08000016,"",New Outpatient,Z9,d,7994,"",1264,"",38,"",106,""
107,20170331,S08000016,"",New Outpatient,Z9,d,7156,"",1761,"",40,"",111,""
108,20180331,S08000016,"",New Outpatient,Z9,d,7995,"",2197,"",41,"",129,""
109,20190331,S08000016,"",New Outpatient,Z9,d,8726,"",1823,"",43,"",109,""
110,20200331,S08000016,"",New Outpatient,Z9,d,6537,"",587,"",39,"",83,""
111,20210331,S08000016,"",New Outpatient,Z9,d,4412,"",1123,"",28,"",206,""
112,20220331,S08000016,"",New Outpatient,Z9,d,6781,"",2791,"",50,"",359,""
113,20121231,S08000016,"",New Outpatient,Z9,d,6669,"",233,"",38,"",75,""
114,20131231,S08000016,"",New Outpatient,Z9,d,7418,"",1120,"",41,"",94,""
115,20141231,S08000016,"",New Outpatient,Z9,d,7311,"",946,"",39,"",96,""
116,20151231,S08000016,"",New Outpatient,Z9,d,7374,"",805,"",38,"",87,""
117,20161231,S08000016,"",New Outpatient,Z9,d,7079,"",855,"",37,"",89,""
118,20171231,S08000016,"",New Outpatient,Z9,d,7770,"",1581,"",39,"",146,""
119,20181231,S08000016,"",New Outpatient,Z9,d,7901,"",1304,"",38,"",99,""
120,20191231,S08000016,"",New Outpatient,Z9,d,8076,"",1210,"",46,"",91,""
121,20201231,S08000016,"",New Outpatient,Z9,d,4318,"",791,"",28,"",225,""
122,20211231,S08000016,"",New Outpatient,Z9,d,5724,"",1632,"",33,"",221.7,""
123,20221231,S08000016,"",New Outpatient,Z9,d,5778,"",2119,"",35,"",414.6,""
124,20130630,S08000017,"",New Outpatient,Z9,d,8773,"",794,"",32,"",83,""
125,20140630,S08000017,"",New Outpatient,Z9,d,9075,"",932,"",32,"",85,""
126,20150630,S08000017,"",New Outpatient,Z9,d,9150,"",1507,"",39,"",95,""
127,20160630,S08000017,"",New Outpatient,Z9,d,9878,"",1566,"",40,"",95,""
128,20170630,S08000017,"",New Outpatient,Z9,d,8342,"",1201,"",37.5,"",98,""
129,20180630,S08000017,"",New Outpatient,Z9,d,9322,"",1452,"",40,"",94,""
130,20190630,S08000017,"",New Outpatient,Z9,d,8712,"",498,"",37,"",83,""
131,20200630,S08000017,"",New Outpatient,Z9,d,2678,"",313,"",13,"",92,""
132,20210630,S08000017,"",New Outpatient,Z9,d,8179,"",3365,"",47,"",225,""
133,20220630,S08000017,"",New Outpatient,Z9,d,7834,"",2736,"",45,"",194,""
134,20130930,S08000017,"",New Outpatient,Z9,d,9089,"",1190,"",38,"",88,""
135,20140930,S08000017,"",New Outpatient,Z9,d,9595,"",1398,"",40,"",91,""
136,20150930,S08000017,"",New Outpatient,Z9,d,10084,"",2224,"",44,"",106,""
137,20160930,S08000017,"",New Outpatient,Z9,d,9462,"",1693,"",43,"",99,""
138,20170930,S08000017,"",New Outpatient,Z9,d,9164,"",1969,"",42,"",111,""
139,20180930,S08000017,"",New Outpatient,Z9,d,8750,"",1488,"",41,"",93,""
140,20190930,S08000017,"",New Outpatient,Z9,d,8932,"",945,"",42,"",85,""
141,20200930,S08000017,"",New Outpatient,Z9,d,5130,"",1574,"",23,"",214,""
142,20210930,S08000017,"",New Outpatient,Z9,d,8331,"",3003,"",47,"",185,""
143,20220930,S08000017,"",New Outpatient,Z9,d,7190,"",2281,"",43,"",201,""
144,20130331,S08000017,"",New Outpatient,Z9,d,8728,"",702,"",32,"",83,""
145,20140331,S08000017,"",New Outpatient,Z9,d,9526,"",1157,"",33,"",88,""
146,20150331,S08000017,"",New Outpatient,Z9,d,8860,"",1529,"",36,"",97,""
147,20160331,S08000017,"",New Outpatient,Z9,d,9201,"",1538,"",38,"",95,""
148,20170331,S08000017,"",New Outpatient,Z9,d,8930,"",1169,"",31,"",92,""
149,20180331,S08000017,"",New Outpatient,Z9,d,8925,"",2325,"",41,"",119,""
150,20190331,S08000017,"",New Outpatient,Z9,d,8952,"",897,"",39,"",85,""
151,20200331,S08000017,"",New Outpatient,Z9,d,8423,"",821,"",44,"",84,""
152,20210331,S08000017,"",New Outpatient,Z9,d,5461,"",1565,"",28,"",202,""
153,20220331,S08000017,"",New Outpatient,Z9,d,7637,"",2780,"",45,"",192,""
154,20121231,S08000017,"",New Outpatient,Z9,d,8615,"",504,"",31,"",78,""
155,20131231,S08000017,"",New Outpatient,Z9,d,8633,"",959,"",34,"",86,""
156,20141231,S08000017,"",New Outpatient,Z9,d,9203,"",1500,"",37,"",95,""
157,20151231,S08000017,"",New Outpatient,Z9,d,9563,"",1852,"",38,"",99,""
158,20161231,S08000017,"",New Outpatient,Z9,d,9312,"",1502,"",34,"",97,""
159,20171231,S08000017,"",New Outpatient,Z9,d,8467,"",1839,"",42,"",115,""
160,20181231,S08000017,"",New Outpatient,Z9,d,8824,"",552,"",40,"",83,""
161,20191231,S08000017,"",New Outpatient,Z9,d,9112,"",780,"",42,"",84,""
162,20201231,S08000017,"",New Outpatient,Z9,d,6447,"",2086,"",36,"",242,""
163,20211231,S08000017,"",New Outpatient,Z9,d,7248,"",2397,"",38,"",167,""
164,20221231,S08000017,"",New Outpatient,Z9,d,7658,"",2607,"",42,"",232,""
165,20130630,S08000019,"",New Outpatient,Z9,d,16962,"",3936,"",40,"",122,""
166,20140630,S08000019,"",New Outpatient,Z9,d,17884,"",2254,"",35,"",90,""
167,20150630,S08000019,"",New Outpatient,Z9,d,17886,"",1660,"",34,"",84,""
168,20160630,S08000019,"",New Outpatient,Z9,d,16380,"",3352,"",35,"",119,""
169,20170630,S08000019,"",New Outpatient,Z9,d,17982,"",3560,"",36,"",117,""
170,20180630,S08000019,"",New Outpatient,Z9,d,17912,"",3727,"",38,"",118,""
171,20190630,S08000019,"",New Outpatient,Z9,d,17432,"",3284,"",36,"",105,""
172,20200630,S08000019,"",New Outpatient,Z9,d,6525,"",1796,"",18,"",138,""
173,20210630,S08000019,"",New Outpatient,Z9,d,14988,"",3792,"",26,"",249,""
174,20220630,S08000019,"",New Outpatient,Z9,d,17615,"",5376,"",36,"",232,""
175,20130930,S08000019,"",New Outpatient,Z9,d,16897,"",4493,"",41,"",122,""
176,20140930,S08000019,"",New Outpatient,Z9,d,18070,"",1850,"",34,"",85,""
177,20150930,S08000019,"",New Outpatient,Z9,d,18305,"",2668,"",36,"",95,""
