"","QuarterEnding","HBT","HBTQF","Specialty","SpecialtyQF","LessThan4WeekWait","LessThan4WeekWaitQF","X4To8WeekWait","X4To8WeekWaitQF","X8To12WeekWait","X8To12WeekWaitQF","X12To16WeekWait","X12To16WeekWaitQF","X16To20WeekWait","X16To20WeekWaitQF","X20To24WeekWait","X20To24WeekWaitQF","X24To28WeekWait","X24To28WeekWaitQF","X28To32WeekWait","X28To32WeekWaitQF","X32To36WeekWait","X32To36WeekWaitQF","X36To40WeekWait","X36To40WeekWaitQF","X40To44WeekWait","X40To44WeekWaitQF","X44To48WeekWait","X44To48WeekWaitQF","X48To52WeekWait","X48To52WeekWaitQF","X52To65WeekWait","X52To65WeekWaitQF","X65To78WeekWait","X65To78WeekWaitQF","X78To91WeekWait","X78To91WeekWaitQF","X91To104WeekWait","X91To104WeekWaitQF","X104To117WeekWait","X104To117WeekWaitQF","X117To130WeekWait","X117To130WeekWaitQF","X130To143WeekWait","X130To143WeekWaitQF","X143To156WeekWait","X143To156WeekWaitQF","Over156WeekWait","Over156WeekWaitQF","date"
"1",20121231,"S92000003","d","Z9","d",169997,"",100999,"",100250,"",14078,"",1863,"",1008,"",500,"",295,"",94,"",42,"",33,"",36,"",47,"",44,"",1,"",1,"",2,"",0,"",0,"",0,"",0,"",2,"",2012-12-31
"2",20130331,"S92000003","d","Z9","d",169901,"",111513,"",109627,"",17433,"",3265,"",1268,"",395,"",99,"",58,"",56,"",24,"",19,"",10,"",21,"",27,"",1,"",1,"",0,"",0,"",0,"",0,"",0,"",2013-03-31
"3",20130630,"S92000003","d","Z9","d",177058,"",117656,"",111608,"",15707,"",4182,"",1292,"",781,"",380,"",153,"",61,"",39,"",23,"",17,"",44,"",27,"",6,"",2,"",1,"",0,"",1,"",1,"",0,"",2013-06-30
"4",20130930,"S92000003","d","Z9","d",177151,"",109321,"",123878,"",19880,"",4455,"",1808,"",721,"",361,"",228,"",168,"",77,"",27,"",20,"",24,"",33,"",8,"",0,"",0,"",0,"",0,"",0,"",0,"",2013-09-30
"5",20131231,"S92000003","d","Z9","d",178497,"",114887,"",128230,"",17863,"",4964,"",2242,"",1497,"",529,"",278,"",202,"",122,"",59,"",37,"",87,"",55,"",24,"",1,"",0,"",0,"",0,"",0,"",0,"",2013-12-31
"6",20140331,"S92000003","d","Z9","d",177099,"",118447,"",126773,"",20869,"",5316,"",2375,"",1351,"",744,"",324,"",241,"",149,"",64,"",43,"",43,"",14,"",3,"",1,"",0,"",0,"",0,"",0,"",1,"",2014-03-31
"7",20140630,"S92000003","d","Z9","d",174028,"",115003,"",129515,"",20041,"",4370,"",1548,"",1058,"",570,"",258,"",144,"",63,"",58,"",30,"",42,"",9,"",3,"",0,"",0,"",0,"",1,"",0,"",0,"",2014-06-30
"8",20140930,"S92000003","d","Z9","d",169199,"",106692,"",129986,"",24574,"",7142,"",2450,"",1064,"",465,"",310,"",116,"",48,"",49,"",18,"",56,"",9,"",2,"",1,"",0,"",0,"",0,"",0,"",1,"",2014-09-30
"9",20141231,"S92000003","d","Z9","d",172139,"",109338,"",123229,"",21429,"",9034,"",4687,"",1879,"",1027,"",389,"",167,"",64,"",23,"",18,"",36,"",13,"",2,"",1,"",0,"",0,"",0,"",1,"",0,"",2014-12-31
"10",20150331,"S92000003","d","Z9","d",168630,"",105061,"",118443,"",27908,"",12463,"",6086,"",2327,"",1453,"",673,"",332,"",145,"",107,"",73,"",47,"",9,"",2,"",0,"",0,"",0,"",0,"",0,"",1,"",2015-03-31
"11",20150630,"S92000003","d","Z9","d",169608,"",104194,"",116406,"",26132,"",8037,"",4853,"",3336,"",1471,"",981,"",524,"",177,"",74,"",44,"",60,"",10,"",3,"",0,"",0,"",0,"",0,"",0,"",0,"",2015-06-30
