"","MonthEnd","HBT","HBTQF","PatientType","Specialty","SpecialtyQF","LessThan4WeekWait","LessThan4WeekWaitQF","X4To8WeekWait","X4To8WeekWaitQF","X8To12WeekWait","X8To12WeekWaitQF","X12To16WeekWait","X12To16WeekWaitQF","X16To20WeekWait","X16To20WeekWaitQF","X20To24WeekWait","X20To24WeekWaitQF","X24To28WeekWait","X24To28WeekWaitQF","X28To32WeekWait","X28To32WeekWaitQF","X32To36WeekWait","X32To36WeekWaitQF","X36To40WeekWait","X36To40WeekWaitQF","X40To44WeekWait","X40To44WeekWaitQF","X44To48WeekWait","X44To48WeekWaitQF","X48To52WeekWait","X48To52WeekWaitQF","X52To65WeekWait","X52To65WeekWaitQF","X65To78WeekWait","X65To78WeekWaitQF","X78To91WeekWait","X78To91WeekWaitQF","X91To104WeekWait","X91To104WeekWaitQF","X104To117WeekWait","X104To117WeekWaitQF","X117To130WeekWait","X117To130WeekWaitQF","X130To143WeekWait","X130To143WeekWaitQF","X143To156WeekWait","X143To156WeekWaitQF","Over156WeekWait","Over156WeekWaitQF","date"
"1",20121231,"S92000003","d","Inpatient/Day case","A1","",260,"",55,"",0,"",2,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",2012-12-31
"2",20121231,"S92000003","d","Inpatient/Day case","A2","",976,"",406,"",15,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",2012-12-31
"3",20121231,"S92000003","d","Inpatient/Day case","A6","",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",2012-12-31
"4",20121231,"S92000003","d","Inpatient/Day case","A7","",50,"",23,"",5,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",2012-12-31
"5",20121231,"S92000003","d","Inpatient/Day case","A8","",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",2012-12-31
"6",20121231,"S92000003","d","Inpatient/Day case","A81","",15,"",3,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",2012-12-31
"7",20121231,"S92000003","d","Inpatient/Day case","A82","",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",2012-12-31
"8",20121231,"S92000003","d","Inpatient/Day case","A9","",254,"",22,"",6,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",2012-12-31
"9",20121231,"S92000003","d","Inpatient/Day case","AB","",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",2012-12-31
"10",20121231,"S92000003","d","Inpatient/Day case","AC","",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",NA,":u",2012-12-31
"11",20121231,"S92000003","d","Inpatient/Day case","AD","",53,"",2,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",2012-12-31
