"","MonthEnd","HBT","HBTQF","Specialty","SpecialtyQF","LessThan4WeekWait","LessThan4WeekWaitQF","X4To8WeekWait","X4To8WeekWaitQF","X8To12WeekWait","X8To12WeekWaitQF","X12To16WeekWait","X12To16WeekWaitQF","X16To20WeekWait","X16To20WeekWaitQF","X20To24WeekWait","X20To24WeekWaitQF","X24To28WeekWait","X24To28WeekWaitQF","X28To32WeekWait","X28To32WeekWaitQF","X32To36WeekWait","X32To36WeekWaitQF","X36To40WeekWait","X36To40WeekWaitQF","X40To44WeekWait","X40To44WeekWaitQF","X44To48WeekWait","X44To48WeekWaitQF","X48To52WeekWait","X48To52WeekWaitQF","X52To65WeekWait","X52To65WeekWaitQF","X65To78WeekWait","X65To78WeekWaitQF","X78To91WeekWait","X78To91WeekWaitQF","X91To104WeekWait","X91To104WeekWaitQF","X104To117WeekWait","X104To117WeekWaitQF","X117To130WeekWait","X117To130WeekWaitQF","X130To143WeekWait","X130To143WeekWaitQF","X143To156WeekWait","X143To156WeekWaitQF","Over156WeekWait","Over156WeekWaitQF","date"
"1",20121231,"S92000003","d","Z9","d",125842,"",86599,"",35561,"",3456,"",1271,"",529,"",309,"",175,"",189,"",112,"",95,"",71,"",60,"",107,"",65,"",54,"",55,"",22,"",9,"",18,"",13,"",27,"",2012-12-31
"2",20130331,"S92000003","d","Z9","d",141483,"",81856,"",32047,"",2859,"",2173,"",1098,"",530,"",233,"",162,"",148,"",97,"",128,"",94,"",161,"",54,"",43,"",46,"",52,"",21,"",7,"",17,"",40,"",2013-03-31
"3",20130630,"S92000003","d","Z9","d",153161,"",84669,"",40037,"",4576,"",1988,"",1086,"",464,"",406,"",278,"",175,"",90,"",89,"",73,"",211,"",95,"",32,"",35,"",41,"",49,"",18,"",4,"",54,"",2013-06-30
"4",20130930,"S92000003","d","Z9","d",154197,"",87130,"",41883,"",6307,"",3211,"",1521,"",720,"",558,"",393,"",162,"",136,"",129,"",90,"",198,"",161,"",68,"",29,"",35,"",41,"",46,"",17,"",57,"",2013-09-30
"5",20131231,"S92000003","d","Z9","d",140890,"",96832,"",41980,"",5553,"",2846,"",1604,"",913,"",539,"",374,"",213,"",181,"",137,"",74,"",165,"",102,"",73,"",60,"",26,"",34,"",40,"",43,"",68,"",2013-12-31
"6",20140331,"S92000003","d","Z9","d",160750,"",87857,"",37777,"",3140,"",2167,"",1242,"",660,"",399,"",265,"",163,"",152,"",103,"",74,"",193,"",123,"",87,"",64,"",53,"",22,"",32,"",35,"",109,"",2014-03-31
"7",20140630,"S92000003","d","Z9","d",162750,"",91954,"",42469,"",6868,"",2426,"",1224,"",419,"",375,"",214,"",125,"",96,"",82,"",68,"",166,"",145,"",105,"",84,"",62,"",51,"",21,"",31,"",140,"",2014-06-30
"8",20140930,"S92000003","d","Z9","d",154031,"",92272,"",47628,"",9892,"",4851,"",1955,"",1089,"",479,"",271,"",102,"",88,"",86,"",65,"",150,"",118,"",131,"",99,"",80,"",61,"",49,"",19,"",168,"",2014-09-30
"9",20141231,"S92000003","d","Z9","d",137143,"",99990,"",49457,"",11793,"",6430,"",2863,"",1604,"",709,"",367,"",217,"",188,"",104,"",53,"",148,"",122,"",101,"",129,"",95,"",79,"",59,"",42,"",146,"",2014-12-31
"10",20150331,"S92000003","d","Z9","d",159782,"",90600,"",39707,"",8073,"",6222,"",3465,"",1829,"",1035,"",480,"",253,"",161,"",86,"",67,"",150,"",117,"",107,"",98,"",123,"",86,"",67,"",42,"",184,"",2015-03-31
"11",20150630,"S92000003","d","Z9","d",161876,"",97416,"",44295,"",13541,"",7367,"",4420,"",1793,"",1422,"",774,"",390,"",179,"",99,"",87,"",193,"",109,"",104,"",103,"",94,"",120,"",84,"",66,"",221,"",2015-06-30
