"","MonthEnding","HBT","HBTQF","Specialty","SpecialtyQF","NumberWaiting","NumberWaitingQF","NumberWaitingOver12Weeks","NumberWaitingOver12WeeksQF","Median","MedianQF","X90thPercentile","X90thPercentileQF","date"
"1",20121031,"S92000003","d","Z9","d",247101,"",6433,"",27,"",68,"",2012-10-31
"2",20121130,"S92000003","d","Z9","d",257007,"",5916,"",25,"",66,"",2012-11-30
"3",20121231,"S92000003","d","Z9","d",254639,"",6637,"",32,"",69,"",2012-12-31
"4",20130131,"S92000003","d","Z9","d",252191,"",8224,"",23,"",71,"",2013-01-31
"5",20130228,"S92000003","d","Z9","d",255667,"",9018,"",23,"",71,"",2013-02-28
"6",20130331,"S92000003","d","Z9","d",263349,"",7963,"",26,"",67,"",2013-03-31
"7",20130430,"S92000003","d","Z9","d",273759,"",8997,"",26,"",69,"",2013-04-30
"8",20130531,"S92000003","d","Z9","d",284149,"",10035,"",28,"",70,"",2013-05-31
"9",20130630,"S92000003","d","Z9","d",287631,"",9764,"",27,"",68,"",2013-06-30
"10",20130731,"S92000003","d","Z9","d",296730,"",11430,"",30,"",72,"",2013-07-31
"11",20130831,"S92000003","d","Z9","d",297932,"",13795,"",30,"",74,"",2013-08-31
"12",20130930,"S92000003","d","Z9","d",297089,"",13879,"",31,"",75,"",2013-09-30
"13",20131031,"S92000003","d","Z9","d",299951,"",13496,"",28,"",73,"",2013-10-31
"14",20131130,"S92000003","d","Z9","d",296104,"",12965,"",29,"",73,"",2013-11-30
"15",20131231,"S92000003","d","Z9","d",292747,"",13045,"",32,"",74,"",2013-12-31
"16",20140131,"S92000003","d","Z9","d",290068,"",13413,"",24,"",74,"",2014-01-31
"17",20140228,"S92000003","d","Z9","d",291056,"",12512,"",25,"",73,"",2014-02-28
"18",20140331,"S92000003","d","Z9","d",295467,"",9083,"",27,"",68,"",2014-03-31
"19",20140430,"S92000003","d","Z9","d",301637,"",10648,"",29,"",70,"",2014-04-30
"20",20140531,"S92000003","d","Z9","d",308857,"",12091,"",29,"",73,"",2014-05-31
"21",20140630,"S92000003","d","Z9","d",309875,"",12702,"",28,"",74,"",2014-06-30
"22",20140731,"S92000003","d","Z9","d",318625,"",14646,"",31,"",76,"",2014-07-31
"23",20140831,"S92000003","d","Z9","d",315188,"",18637,"",32,"",80,"",2014-08-31
"24",20140930,"S92000003","d","Z9","d",313684,"",19753,"",32,"",81,"",2014-09-30
"25",20141031,"S92000003","d","Z9","d",321499,"",21772,"",30,"",80,"",2014-10-31
"26",20141130,"S92000003","d","Z9","d",316249,"",22716,"",31,"",82,"",2014-11-30
"27",20141231,"S92000003","d","Z9","d",311839,"",25249,"",35,"",82,"",2014-12-31
"28",20150131,"S92000003","d","Z9","d",306223,"",28858,"",32,"",87,"",2015-01-31
"29",20150228,"S92000003","d","Z9","d",309044,"",28746,"",30,"",86,"",2015-02-28
"30",20150331,"S92000003","d","Z9","d",312734,"",22645,"",28,"",78,"",2015-03-31
"31",20150430,"S92000003","d","Z9","d",322344,"",26316,"",31,"",82,"",2015-04-30
"32",20150531,"S92000003","d","Z9","d",328828,"",29817,"",32,"",86,"",2015-05-31
"33",20150630,"S92000003","d","Z9","d",334753,"",31166,"",32,"",89,"",2015-06-30
"34",20150731,"S92000003","d","Z9","d",348119,"",36777,"",35,"",93,"",2015-07-31
"35",20150831,"S92000003","d","Z9","d",345758,"",40887,"",35,"",101,"",2015-08-31
"36",20150930,"S92000003","d","Z9","d",341763,"",42136,"",35,"",103,"",2015-09-30
"37",20151031,"S92000003","d","Z9","d",343282,"",42101,"",36,"",102,"",2015-10-31
"38",20151130,"S92000003","d","Z9","d",331436,"",36117,"",33,"",97,"",2015-11-30
"39",20151231,"S92000003","d","Z9","d",325356,"",36287,"",36,"",98,"",2015-12-31
"40",20160131,"S92000003","d","Z9","d",321937,"",40864,"",39,"",104,"",2016-01-31
"41",20160229,"S92000003","d","Z9","d",324505,"",39160,"",31,"",103,"",2016-02-29
"42",20160331,"S92000003","d","Z9","d",326018,"",33659,"",31,"",100,"",2016-03-31
"43",20160430,"S92000003","d","Z9","d",342085,"",39382,"",31,"",95,"",2016-04-30
